eval/mean_reward,rollout/ep_len_mean,_step,curriculum/ent_coef,curriculum/pct_within_6m,rollout/ep_rew_mean,train/explained_variance,train/policy_gradient_loss,train/std,curriculum/phase,train/clip_range,_timestamp,global_step,curriculum/success_rate,_runtime,train/entropy_loss,train/approx_kl,time/fps,train/learning_rate,curriculum/wall_hit_rate,train/value_loss,curriculum/pct_within_2m,eval/mean_ep_length,curriculum/median_landing_dist,curriculum/pct_within_1m,curriculum/mean_landing_dist,train/clip_fraction,train/loss
-10.622179,,4197,,,,,,,,,1776369060.1723552,4973010.0,,1003.035270917,,,,,,,,,,,,,
,,4213,,92.5,,,,,,,1776369063.3240561,4988928.0,,1008.0379055,,,,,,,,,,,,,
,,4222,,,,,,,,,1776369065.147242,4998000.0,,1008.03813425,,0.05295428,,,,,,,,,,,
,,4247,,,,,,,,,1776369070.167464,5022990.0,,1013.04023525,,,,,,,,,,,,0.41064453,
,,4337,,,,,,,,,1776369091.855009,5132288.0,0.035,1033.049783792,,,,,,,,,,,,,
,,4338,,,,,,,,,1776369091.8550131,5132288.0,,1033.049800042,,,,,2.5,,,,,,,,
,,4379,,,,,,,,,1776369103.1560562,5189632.0,,1043.055379542,,,,,,,,,,,3.3197477,,
,,4447,,,,,0.001354744,,,,1776369114.8750222,5247900.0,,1058.062575959,,,,,,,,,,,,,
-12.235195,,4465,,,,,,,,,1776369124.750489,5297880.0,,1068.066228667,,,,,,,,,,,,,
,,4487,,,,,,,,,1776369126.030814,5304320.0,,1068.066374084,,,4989.0,,,,,,,,,,
,,4502,,,,,,,,,1776369131.6911218,5332992.0,,1073.069100209,,,,,,,,,3.1824527,,,,
,,4522,,,,,,0.02394408,,,1776369134.631655,5347860.0,,1078.070140625,,,,,,,,,,,,,
,,4607,,,,,,,,,1776369154.535112,5447680.0,,1098.07825475,,,4990.0,,,,,,,,,,
,,4637,,,,,,,,,1776369164.5265548,5497800.0,,1108.082893084,,,,,,,,,,,,0.43661222,
,,4648,,,,,,,,,1776369165.989845,5505024.0,,1108.082988542,,,,,,,,,3.2627647,,,,
,,4651,,98.0,,,,,,,1776369165.989856,5505024.0,,1108.083007167,,,,,,,,,,,,,
-10.128394,,4659,,,,,,,,,1776369169.527267,5522790.0,,1113.085372875,,,,,,,,,,,,,
,,4661,,,,,,,,,1776369169.5272791,5522790.0,,1113.085403584,,,,,,,,,,,,0.39098012,
,,4677,,,,,,,,,1776369171.713964,5533696.0,0.17,1113.086026375,,,,,,,,,,,,,
,,4694,0.05,,,,,,,,1776369177.3793879,5562368.0,,1118.088529375,,,,,,,,,,,,,
